Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Divis Laboratories","https://scanx.trade/company/divis-laboratories-ltd","6,408.50","-1.01%","6,424.00","4,66,870","1,70,125.54","69.29","28.67","7,071.50","4,955.00","6.60%","-1.56%","14.12%","119.83%","90.55%","11.14","0.46%","11.79%","18.85%","63.06","6,282.28","6,386.89","57.58","76.00%","87.50%"
"Bharat Petroleum","https://scanx.trade/company/bharat-petroleum-ltd","385.40","-0.16%","386.65","90,20,770","1,67,206.00","6.80","9.94","391.65","234.01","10.38%","4.83%","57.47%","142.73%","71.34%","1.78","2.55%","35.51%","17.05%","44.92","369.99","343.77","59.77","76.00%","87.50%"
"Bank of Baroda","https://scanx.trade/company/bank-of-baroda-ltd","321.95","-0.77%","325.00","1,46,86,416","1,66,492.01","8.54","10.57","325.50","190.70","8.71%","11.63%","58.46%","108.25%","276.99%","1.02","2.58%","15.25%","5.69%","36.82","299.07","266.34","69.37","76.00%","87.50%"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","255.40","-0.29%","257.00","1,32,83,249","1,62,259.24","101.25","30.80","338.60","198.65","0.99%","-17.08%","15.20%","2.61%","2.61%","1.21","0.20%","1.15%","1.49%","2.50","274.17","299.04","36.97","75.00%","87.50%"
"Adani Green Energy","https://scanx.trade/company/adani-green-energy-ltd","947.35","-1.93%","960.35","11,56,653","1,56,045.23","85.65","35.41","1,177.55","758.00","22.59%","-8.42%","16.70%","94.73%","-18.32%","8.14","-","7.22%","8.15%","8.71","955.76","997.41","47.73","68.03%","80.00%"
"Union Bank of India","https://scanx.trade/company/union-bank-of-india-ltd","202.27","0.36%","202.01","2,34,19,781","1,54,404.94","8.12","10.57","203.20","107.60","17.07%","30.16%","75.69%","202.57%","398.20%","1.23","2.36%","14.05%","6.23%","18.56","173.40","150.36","73.89","73.93%","86.49%"
"HDFC Life Insurance","https://scanx.trade/company/hdfc-life-insurance-ltd","715.30","-2.55%","733.00","34,16,009","1,54,334.26","83.80","30.80","820.75","600.35","0.45%","-9.17%","15.67%","48.14%","2.09%","9.00","0.29%","10.73%","0.60%","7.61","734.12","757.76","44.59","78.00%","91.00%"
"ICICI Prudential Asset Management","https://scanx.trade/company/icici-prudential-asset-management-company-ltd","3,112.10","-0.04%","3,116.90","2,70,097","1,53,818.19","58.06","30.80","3,193.00","2,530.00","12.07%","20.35%","20.35%","20.35%","20.35%","2.13","1.40%","-","98.60%","-","-","-","60.40","-","80.00%"
"Varun Beverages","https://scanx.trade/company/varun-beverages-ltd","451.40","-1.97%","461.95","45,55,709","1,52,662.97","50.88","47.30","568.50","419.55","-4.79%","-3.03%","0.69%","74.75%","386.89%","7.95","0.11%","29.67%","20.86%","18.65","473.07","474.07","42.73","75.00%","87.50%"
"Pidilite Industries","https://scanx.trade/company/pidilite-industries-ltd","1,492.00","-1.64%","1,518.90","16,06,678","1,51,842.93","66.71","16.37","1,574.95","1,311.10","3.05%","0.51%","11.46%","31.12%","76.99%","16.16","0.66%","20.28%","26.80%","36.93","1,470.58","1,495.36","54.13","78.00%","87.50%"
"DLF","https://scanx.trade/company/dlf-ltd","603.85","-1.14%","610.00","40,23,729","1,49,471.90","34.14","19.99","886.80","586.65","2.62%","-17.37%","-6.00%","74.50%","99.62%","3.52","0.98%","4.13%","5.62%","11.50","653.61","744.04","36.09","76.00%","87.50%"
"Punjab National Bank","https://scanx.trade/company/punjab-national-bank-ltd","129.44","-0.80%","130.25","1,77,61,050","1,48,764.66","8.39","10.57","135.15","85.46","7.73%","3.56%","40.76%","172.22%","216.87%","1.07","2.22%","8.25%","5.75%","10.66","124.36","114.70","58.96","76.00%","87.50%"
"Torrent Pharmaceuticals","https://scanx.trade/company/torrent-pharmaceuticals-ltd","4,333.30","-1.51%","4,420.30","4,04,933","1,46,658.56","65.55","33.06","4,470.00","2,886.45","10.20%","15.38%","45.07%","192.70%","256.91%","17.63","0.14%","24.16%","28.48%","49.44","4,020.11","3,646.50","65.06","78.00%","87.50%"
"Cholamandalam Investment","https://scanx.trade/company/cholamandalam-investment-ltd","1,730.80","-0.99%","1,740.00","18,44,360","1,46,054.16","30.73","30.80","1,831.50","1,358.65","5.33%","1.05%","20.31%","126.89%","233.55%","5.25","0.11%","17.41%","9.61%","43.53","1,699.47","1,624.04","53.75","75.93%","87.50%"
"Britannia Industries","https://scanx.trade/company/britannia-industries-ltd","6,002.50","-2.19%","6,135.50","3,50,612","1,44,581.19","61.18","-484.15","6,336.00","4,506.00","2.87%","2.07%","25.50%","35.11%","78.45%","39.59","1.22%","53.81%","58.72%","91.68","5,985.73","5,838.56","48.61","78.00%","87.50%"
"Canara Bank","https://scanx.trade/company/canara-bank-ltd","157.37","-0.95%","158.88","2,33,77,836","1,42,744.84","7.83","10.57","162.89","78.60","3.66%","4.80%","88.56%","190.24%","400.54%","1.30","2.52%","15.87%","6.11%","17.21","151.27","128.72","60.27","76.00%","87.50%"
"Tata Capital","https://scanx.trade/company/tata-capital-ltd","333.60","-0.21%","334.00","24,99,099","1,41,608.83","32.09","30.80","367.30","315.10","-5.16%","2.79%","0.94%","0.94%","0.94%","3.29","0.11%","-","9.08%","-","346.71","-","37.06","-","75.00%"
"Tata Motors Passenger Vehicles","https://scanx.trade/company/tata-motors-passenger-vehicles-ltd","382.65","-2.27%","393.65","1,59,51,041","1,40,913.90","1.69","49.95","450.40","324.33","11.09%","6.51%","-2.54%","47.77%","95.73%","1.30","1.53%","34.17%","18.34%","102.18","363.95","395.90","57.37","76.00%","89.10%"
"Samvardhana Motherson International","https://scanx.trade/company/motherson-sumi-systems-ltd","133.34","-1.46%","135.50","2,26,09,831","1,40,732.94","39.20","130.59","135.83","71.50","23.01%","19.26%","62.75%","142.57%","68.85%","3.84","0.42%","10.70%","14.07%","4.75","121.06","108.11","63.64","75.72%","87.15%"
"Trent","https://scanx.trade/company/trent-ltd","3,899.50","1.13%","3,856.00","9,76,499","1,38,622.34","84.66","14.61","6,261.00","3,645.00","3.82%","-9.15%","-18.85%","198.69%","382.22%","22.48","0.13%","36.01%","29.27%","35.43","4,044.45","4,833.12","40.96","72.77%","85.89%"
"Power Finance Corporation","https://scanx.trade/company/power-finance-corporation-ltd","413.80","-1.62%","420.00","69,22,370","1,36,558.21","4.15","36.61","444.10","329.90","15.38%","14.18%","9.44%","257.46%","317.14%","1.09","3.76%","19.70%","9.24%","62.81","383.24","394.86","57.18","72.83%","86.60%"
"Cummins","https://scanx.trade/company/cummins-india-ltd","4,898.30","-1.30%","4,982.00","9,44,558","1,35,780.88","61.36","57.18","4,975.00","2,580.00","24.63%","11.12%","74.25%","211.76%","521.81%","17.42","1.04%","26.02%","32.98%","66.04","4,337.69","3,944.84","71.26","76.00%","87.50%"
"IRFC","https://scanx.trade/company/indian-railway-finance-corp-ltd","103.55","0.31%","103.00","1,90,27,229","1,35,324.38","19.26","36.61","148.95","102.54","-9.29%","-12.31%","-13.97%","271.81%","320.08%","2.38","1.55%","13.04%","5.81%","4.93","117.54","125.57","26.51","72.21%","85.59%"
"Muthoot Finance","https://scanx.trade/company/muthoot-finance-ltd","3,353.50","-2.40%","3,458.00","13,62,651","1,34,632.45","15.95","30.80","4,149.50","1,965.00","-11.81%","-9.99%","51.83%","247.37%","158.02%","3.87","0.76%","16.57%","13.76%","111.25","3,752.51","3,124.63","37.05","76.00%","85.99%"
"Indian Bank","https://scanx.trade/company/indian-bank-ltd","990.50","-0.11%","988.10","23,43,944","1,33,416.78","11.60","10.57","997.95","478.00","13.01%","11.70%","89.90%","263.42%","628.04%","1.84","1.64%","13.49%","5.89%","67.86","870.36","750.16","70.49","75.78%","86.96%"
"Tech Mahindra","https://scanx.trade/company/tech-mahindra-ltd","1,357.80","-0.29%","1,391.00","26,01,590","1,33,026.56","29.06","25.37","1,854.00","1,209.40","-20.18%","-10.69%","-14.51%","21.34%","47.77%","4.84","3.30%","8.83%","18.78%","25.74","1,601.81","1,546.10","22.23","76.00%","89.69%"
"LTI Mindtree","https://scanx.trade/company/lti-larsen-toubro-infotech-ltd","4,462.00","-0.93%","4,590.00","4,64,787","1,32,293.50","28.27","25.37","-","-","3,302.21%","-","-","4,241.31%","-","5.71","1.44%","22.89%","26.33%","154.11","5,724.86","5,494.65","19.23","76.00%","87.50%"
"Polycab","https://scanx.trade/company/polycab-india-ltd","8,610.50","1.23%","8,502.00","9,26,904","1,29,621.15","48.18","19.08","8,539.50","4,555.00","28.09%","14.21%","84.00%","180.21%","543.97%","12.09","0.41%","21.87%","27.96%","118.40","7,555.02","7,133.10","75.29","74.12%","86.89%"
"ABB","https://scanx.trade/company/abb-ltd","6,073.00","-0.98%","6,128.00","6,02,254","1,28,691.96","77.78","4.69","6,260.00","4,637.50","29.36%","16.84%","18.04%","93.28%","297.41%","16.56","0.64%","21.00%","35.54%","75.95","5,394.24","5,420.44","64.90","75.96%","87.50%"
"Jindal Steel","https://scanx.trade/company/jindal-steel-ltd","1,244.20","-1.33%","1,253.20","16,18,136","1,26,919.36","63.80","24.85","1,272.10","770.00","16.98%","19.36%","44.34%","122.06%","270.41%","2.59","0.16%","13.28%","8.16%","54.82","1,110.11","1,026.70","67.08","76.00%","87.50%"
"IDBI Bank","https://scanx.trade/company/idbi-bank-ltd","116.01","2.02%","113.84","3,93,93,232","1,24,738.62","13.10","9.69","118.38","66.50","19.08%","13.79%","63.35%","137.97%","267.70%","2.07","1.85%","11.35%","5.31%","5.85","105.10","97.67","65.09","60.00%","75.00%"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","1,217.50","-1.75%","1,238.90","14,43,913","1,24,580.03","69.63","71.16","1,309.00","979.50","-1.85%","5.48%","15.80%","31.22%","77.37%","10.43","2.02%","-4.45%","23.72%","17.15","1,208.83","1,200.23","53.29","76.00%","87.50%"
"Ashok Leyland","https://scanx.trade/company/ashok-leyland-ltd","211.10","-0.39%","211.92","1,39,62,660","1,23,997.07","34.74","119.14","215.42","95.93","9.39%","41.73%","87.28%","198.80%","227.64%","9.89","1.47%","22.82%","15.46%","8.52","193.20","148.16","63.32","76.00%","87.50%"
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","500.40","-2.29%","512.00","24,28,507","1,23,690.05","25.48","228.35","624.95","455.00","-3.51%","-9.02%","6.51%","44.94%","82.96%","2.25","0.39%","9.32%","9.15%","12.66","535.41","560.49","35.84","76.00%","87.50%"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","13,504.00","-1.82%","13,803.00","1,02,819","1,22,197.77","81.45","16.37","17,820.00","8,482.50","6.68%","0.33%","54.80%","255.08%","934.99%","24.31","0.07%","25.54%","30.18%","102.22","12,992.46","14,225.56","54.39","74.84%","86.55%"
"Siemens","https://scanx.trade/company/siemens-ltd","3,418.60","2.45%","3,336.00","8,57,596","1,21,743.36","67.09","4.69","3,409.00","2,269.90","17.87%","3.01%","46.73%","111.82%","271.71%","8.97","0.36%","14.98%","22.43%","68.99","3,103.32","3,162.65","65.94","74.98%","87.34%"
"Adani Energy Solutions","https://scanx.trade/company/adani-transmission-ltd","1,011.55","-1.21%","1,022.00","7,02,337","1,21,515.75","51.62","35.41","1,067.70","639.45","24.47%","2.05%","52.87%","42.01%","34.87%","5.26","-","8.73%","6.77%","12.54","977.54","911.49","53.37","68.33%","80.00%"
"Tata Power","https://scanx.trade/company/tata-power-ltd","377.55","-0.75%","380.40","31,97,689","1,20,640.04","24.25","35.41","416.80","331.85","9.36%","-3.56%","9.98%","86.63%","296.79%","3.22","0.59%","11.17%","9.90%","11.48","371.70","387.90","53.45","76.00%","87.50%"
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","10,804.00","-1.34%","10,980.00","83,861","1,20,241.51","13.60","30.80","14,763.00","10,400.00","1.27%","-7.93%","-10.48%","77.02%","197.61%","1.80","0.85%","11.70%","8.98%","670.52","10,999.02","12,507.13","43.04","68.52%","87.50%"
"Indus Towers","https://scanx.trade/company/bharti-infratel-ltd","454.95","-1.37%","459.00","71,70,798","1,20,023.21","17.08","17.81","481.50","312.55","10.12%","12.17%","34.50%","165.74%","76.47%","3.37","-","22.32%","28.12%","24.54","439.76","393.92","50.12","75.51%","87.50%"
"HDFC AMC","https://scanx.trade/company/hdfc-asset-management-company-ltd","2,698.60","-2.00%","2,718.70","11,93,019","1,15,583.33","41.07","30.80","2,967.25","1,783.43","11.07%","0.73%","46.31%","197.32%","83.77%","15.25","1.63%","27.46%","39.50%","96.87","2,649.35","2,678.24","49.21","76.00%","87.50%"
"Vodafone Idea","https://scanx.trade/company/vodafone-idea-ltd","10.59","-2.40%","10.88","38,32,28,221","1,14,735.27","-4.78","-11.29","12.80","6.12","6.65%","5.06%","35.77%","56.89%","-6.28%","-1.43","-","29.99%","-1.99%","-","11.16","8.86","41.55","65.99%","77.10%"
"Hero Motocorp","https://scanx.trade/company/hero-motocorp-ltd","5,710.00","-1.33%","5,775.00","5,84,546","1,14,246.60","21.17","42.77","6,388.50","3,344.00","6.05%","-6.95%","51.88%","129.72%","77.11%","5.51","2.85%","20.98%","28.71%","204.10","5,676.27","5,195.86","53.50","76.00%","90.06%"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","725.20","-0.21%","726.75","26,08,297","1,14,208.67","103.17","4.69","797.55","517.70","32.07%","5.35%","24.96%","130.33%","1,184.68%","15.33","0.17%","28.86%","31.58%","5.88","644.12","689.01","67.27","74.12%","86.10%"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","25,562.00","0.63%","25,340.00","1,26,705","1,13,935.87","134.51","4.69","25,470.00","10,400.00","54.91%","15.12%","121.02%","680.71%","1,676.25%","24.69","0.02%","12.04%","13.08%","40.53","19,806.22","19,381.78","77.31","50.00%","79.58%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,141.00","-1.60%","1,151.10","20,35,788","1,12,907.01","77.97","10.95","1,220.90","930.10","-1.08%","-3.74%","13.19%","61.30%","89.64%","5.65","0.71%","7.46%","7.91%","13.53","1,166.27","1,130.72","45.08","78.00%","91.00%"
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","7,821.50","0.60%","7,735.50","6,98,131","1,12,461.17","59.95","37.79","8,099.50","6,001.00","14.97%","5.80%","26.46%","74.95%","155.72%","12.31","0.16%","12.53%","15.53%","72.05","7,229.67","7,372.31","76.58","75.00%","91.00%"
"GAIL","https://scanx.trade/company/gail-ltd","169.53","-0.25%","169.45","1,71,64,115","1,11,467.66","12.98","34.23","202.79","150.52","5.42%","-8.44%","6.38%","63.88%","79.34%","1.27","4.41%","12.83%","15.14%","17.17","166.56","177.56","57.68","76.00%","87.50%"
"BSE","https://scanx.trade/company/bse-ltd","2,707.10","-3.35%","2,772.00","48,30,334","1,10,418.30","52.20","34.23","3,227.00","1,227.32","0.81%","-6.22%","57.31%","1,748.73%","4,089.91%","21.89","0.27%","22.34%","30.53%","44.38","2,773.55","2,580.73","43.63","65.00%","79.57%"
"Cipla","https://scanx.trade/company/cipla-ltd","1,348.20","-0.73%","1,353.00","26,09,711","1,08,903.79","24.19","4.43","1,673.00","1,281.70","2.52%","-11.52%","-6.45%","40.17%","71.30%","3.33","1.18%","15.50%","21.57%","55.04","1,398.39","1,492.02","47.64","78.00%","91.00%"
"LG Electronics","https://scanx.trade/company/lg-electronics-india-ltd","1,589.00","1.90%","1,555.50","6,63,497","1,07,856.93","60.56","13.89","1,749.00","1,325.50","13.51%","-3.15%","-5.97%","-5.97%","-5.97%","15.39","-","-","45.23%","-","1,484.64","-","64.34","-","75.00%"
"Bosch","https://scanx.trade/company/bosch-ltd","36,425.00","-0.86%","36,795.00","32,321","1,07,430.58","39.30","130.59","41,945.00","25,921.60","3.29%","-0.16%","35.80%","104.52%","145.21%","7.73","1.39%","20.65%","18.89%","646.75","36,437.90","36,646.43","52.95","78.00%","87.50%"
"Dr Reddys Laboratories","https://scanx.trade/company/dr-reddys-laboratories-ltd","1,286.30","-2.50%","1,313.80","35,10,396","1,07,358.50","19.93","4.43","1,379.70","1,020.00","4.10%","3.07%","14.28%","43.21%","45.29%","3.06","0.61%","19.74%","21.88%","333.59","1,246.57","1,260.25","55.60","78.00%","91.00%"
"GMR Airports","https://scanx.trade/company/gmr-infrastructure-ltd","100.63","-1.59%","101.76","1,92,13,349","1,06,254.98","-601.29","34.23","110.36","67.75","10.33%","-5.74%","45.23%","170.51%","286.30%","-39.49","-","-86.69%","7.69%","-","99.28","93.26","54.75","75.00%","87.50%"
"Max Healthcare Institute","https://scanx.trade/company/max-healthcare-institute-ltd","1,091.95","-1.62%","1,108.95","60,55,289","1,06,221.55","76.13","37.79","1,314.30","933.80","10.14%","-6.08%","7.46%","153.00%","502.29%","10.74","0.14%","14.89%","11.73%","10.84","1,039.01","1,145.11","60.76","70.00%","87.50%"
"Lupin","https://scanx.trade/company/lupin-ltd","2,301.90","-0.92%","2,330.00","9,55,385","1,05,150.52","22.74","4.43","2,331.80","1,795.20","7.71%","11.12%","21.73%","249.12%","126.04%","5.41","0.52%","13.47%","21.29%","49.64","2,174.17","2,025.76","66.87","76.00%","87.50%"
"Siemens Energy","https://scanx.trade/company/siemens-energy-ltd","2,930.90","0.36%","2,926.00","6,80,155","1,04,375.36","88.10","35.41","3,625.00","2,115.00","37.90%","-5.87%","7.16%","7.16%","7.16%","23.75","0.14%","-","29.23%","-","2,581.75","-","66.44","-","87.50%"
"Marico","https://scanx.trade/company/marico-ltd","788.65","-2.12%","805.75","25,05,181","1,02,373.68","59.78","16.86","813.50","577.85","6.44%","7.43%","26.53%","58.11%","98.38%","25.82","1.29%","36.03%","36.91%","11.73","758.16","728.33","57.42","78.00%","87.50%"
"Groww","https://scanx.trade/company/billionbrains-garage-ventures-ltd","163.49","-0.88%","163.00","1,19,36,171","1,00,932.13","59.78","30.80","193.80","112.00","-2.40%","0.37%","24.49%","24.49%","24.49%","12.08","-","-","49.28%","-","165.06","-","45.79","-","80.00%"
"United Spirits","https://scanx.trade/company/united-spirits-ltd","1,380.80","-0.58%","1,385.00","13,62,196","1,00,432.61","58.75","29.35","1,645.00","1,271.10","3.59%","-5.39%","3.40%","85.74%","158.05%","12.02","0.86%","19.77%","26.08%","19.42","1,378.99","1,394.14","47.61","76.00%","87.50%"
"Lodha Developers","https://scanx.trade/company/macrotech-developers-ltd","988.25","-2.30%","1,012.00","19,86,835","98,696.97","30.21","19.99","1,531.00","863.80","9.77%","-15.07%","-17.30%","174.67%","324.82%","4.85","0.42%","8.86%","18.64%","19.37","1,046.10","1,210.53","37.97","72.22%","84.92%"
"GE Vernova T&D","https://scanx.trade/company/ge-td-india-ltd","3,850.20","-0.37%","3,848.00","5,44,116","98,583.04","92.66","4.69","3,912.00","1,254.00","41.93%","29.03%","179.48%","3,461.70%","2,911.50%","47.43","0.13%","-","44.57%","-","3,221.41","2,818.86","68.50","60.00%","70.00%"
"Indian Hotels Company","https://scanx.trade/company/indian-hotels-company-ltd","667.05","-2.04%","685.00","49,68,047","94,950.05","44.78","-1.45","858.00","627.20","3.29%","-8.80%","-7.91%","115.46%","459.98%","8.38","0.33%","11.86%","17.74%","9.03","694.66","736.00","40.72","76.00%","87.50%"
"ICICI Prudential Life Insurance","https://scanx.trade/company/icici-prudential-life-insurance-ltd","654.50","-2.97%","668.20","22,31,900","94,744.19","71.32","30.80","706.80","525.80","2.47%","5.24%","16.93%","63.75%","41.80%","7.28","0.13%","7.73%","0.44%","6.03","656.63","630.48","50.69","76.00%","80.00%"
"ICICI Lombard General Insurance","https://scanx.trade/company/icici-lombard-general-insurance-ltd","1,901.50","-2.31%","1,945.00","8,52,656","94,695.61","35.41","30.80","2,068.70","1,613.70","5.89%","-5.41%","11.77%","74.59%","33.35%","5.87","0.64%","15.72%","-8.50%","42.73","1,905.36","1,931.21","48.44","78.00%","87.50%"
"Shree Cement","https://scanx.trade/company/shree-cement-ltd","26,075.00","-2.51%","26,850.00","45,243","94,080.55","53.70","228.35","32,490.00","25,360.00","-3.43%","-3.19%","-7.88%","2.61%","-1.61%","4.30","0.41%","11.55%","6.67%","582.58","26,796.20","28,741.35","41.27","78.00%","87.50%"
"Hindustan Petroleum","https://scanx.trade/company/hindustan-petroleum-ltd","438.75","-1.18%","444.00","53,41,791","93,358.21","6.14","9.94","508.45","287.55","5.76%","-5.90%","42.92%","203.28%","171.45%","1.66","2.37%","34.13%","12.56%","46.45","454.48","435.00","45.11","74.69%","87.11%"
"Lenskart Solutions","https://scanx.trade/company/lenskart-solutions-ltd","537.40","4.81%","508.10","58,45,971","93,231.92","172.01","71.16","533.00","356.10","26.76%","32.69%","33.32%","33.32%","33.32%","10.25","-","-","6.18%","-","461.18","-","70.16","-","70.00%"
"Mankind Pharma","https://scanx.trade/company/mankind-pharma-ltd","2,247.60","-1.41%","2,261.10","7,94,739","92,782.07","52.20","4.43","2,716.50","2,012.30","6.64%","-0.50%","-2.03%","58.03%","58.03%","6.16","-","20.28%","13.33%","48.99","2,142.30","2,358.31","63.52","75.00%","87.50%"
"Zydus Life Science","https://scanx.trade/company/cadila-healthcare-ltd","921.70","-1.79%","939.90","10,44,991","92,744.59","18.78","4.43","1,059.05","795.00","4.50%","-2.00%","3.98%","97.60%","111.79%","3.73","1.17%","17.34%","21.99%","41.43","903.43","952.70","55.01","76.00%","87.50%"
"Bharat Heavy Electricals","https://scanx.trade/company/bhel-bharat-heavy-electricals-ltd","264.95","0.04%","264.50","83,67,571","92,257.27","113.18","4.69","305.90","176.00","9.26%","-8.54%","41.35%","287.35%","456.62%","3.78","0.19%","1.15%","3.75%","0.29","268.84","254.60","51.44","72.83%","84.63%"
"REC","https://scanx.trade/company/rural-electrification-corporation-ltd","349.80","-1.21%","353.00","75,42,283","92,110.18","5.40","36.61","450.00","330.95","-3.20%","-1.85%","-7.58%","209.56%","244.19%","1.12","5.09%","20.40%","9.48%","55.59","362.04","376.20","42.29","72.32%","86.55%"
"Dabur India","https://scanx.trade/company/dabur-india-ltd","518.50","-1.13%","523.05","24,14,657","91,965.84","51.10","71.16","577.00","433.30","-0.10%","0.25%","3.03%","-3.07%","3.06%","8.49","1.52%","17.58%","20.32%","10.60","510.35","507.27","54.19","78.00%","87.50%"
"Bharat Forge","https://scanx.trade/company/bharat-forge-ltd","1,911.20","-0.04%","1,922.00","14,01,713","91,372.30","80.28","25.99","1,919.90","919.10","35.66%","33.53%","84.05%","130.56%","213.29%","9.77","0.44%","12.70%","16.45%","22.02","1,550.99","1,338.39","82.35","76.00%","87.50%"
"Aditya Birla Capital","https://scanx.trade/company/aditya-birla-capital-ltd","344.45","-3.29%","357.70","10,33,07,555","90,147.56","26.00","30.80","369.30","149.85","-0.86%","-1.53%","118.46%","142.31%","178.57%","2.90","-","12.01%","9.58%","13.24","349.78","302.32","47.10","76.00%","87.50%"
"Mazagon Dock Shipbuilders","https://scanx.trade/company/mazagon-dock-shipbuilders-ltd","2,224.90","-1.19%","2,248.00","6,25,013","89,748.02","37.73","34.23","3,775.00","2,047.90","-3.34%","-17.49%","5.85%","522.30%","1,987.15%","10.19","0.77%","21.98%","34.51%","96.04","2,423.46","2,803.01","34.04","66.44%","82.04%"
"Havells","https://scanx.trade/company/havells-india-ltd","1,397.10","-1.17%","1,414.90","14,98,208","87,634.05","59.78","4.69","1,673.80","1,250.10","8.55%","-2.97%","-3.73%","18.31%","26.37%","10.22","0.71%","17.06%","22.51%","22.20","1,392.32","1,483.90","51.77","78.00%","87.50%"
"JSW Energy","https://scanx.trade/company/jsw-energy-ltd","487.75","-2.19%","498.00","13,08,481","85,247.41","33.66","35.41","579.00","427.75","2.11%","0.10%","6.31%","130.34%","578.37%","2.96","0.40%","8.21%","5.73%","11.18","482.12","507.19","52.69","72.61%","85.84%"
"Swiggy","https://scanx.trade/company/swiggy-ltd","301.75","-1.73%","308.00","1,36,86,102","83,292.46","-19.09","34.23","474.00","297.00","-3.21%","-23.10%","-12.40%","-33.83%","-33.83%","4.27","-","-","-25.96%","-","345.77","384.20","33.52","65.00%","84.81%"
"Bharti Hexacom","https://scanx.trade/company/bharti-hexacom-ltd","1,606.90","-3.11%","1,666.70","2,83,709","80,345.00","47.31","-11.29","2,052.90","1,234.00","-0.51%","-9.66%","23.03%","97.58%","97.58%","13.30","0.60%","10.87%","20.12%","8.38","1,692.38","1,755.88","39.90","60.00%","86.92%"
"Bank of India","https://scanx.trade/company/bank-of-india-ltd","176.05","-0.65%","177.00","63,71,509","80,149.72","8.21","10.57","178.22","92.66","10.27%","18.27%","82.28%","151.14%","113.52%","1.03","2.29%","9.28%","5.62%","15.14","157.82","132.78","64.34","70.00%","86.69%"
"Torrent Power","https://scanx.trade/company/torrent-power-ltd","1,566.40","0.08%","1,566.00","8,81,717","78,931.45","24.53","35.41","1,640.00","1,188.00","23.27%","19.02%","19.33%","215.36%","310.27%","4.19","1.21%","15.05%","14.83%","47.61","1,386.09","1,345.76","68.86","73.97%","86.44%"
"Oil India","https://scanx.trade/company/oil-india-ltd","483.90","2.21%","473.20","77,40,031","78,711.55","11.63","-467.68","524.00","325.00","11.06%","14.36%","32.25%","198.52%","474.70%","1.37","2.43%","23.55%","11.77%","51.54","452.25","431.39","57.15","72.79%","85.78%"
"Waaree Energies","https://scanx.trade/company/waaree-energies-ltd","2,709.30","-0.31%","2,717.70","26,54,339","77,930.55","22.99","4.69","3,865.00","1,863.00","4.23%","-17.56%","22.43%","15.84%","15.84%","6.81","-","-","24.78%","-","2,852.72","3,086.07","39.40","50.00%","81.80%"
"Nykaa","https://scanx.trade/company/nykaa-ltd","265.48","-0.77%","266.35","57,71,186","75,973.01","535.10","14.61","285.60","154.90","13.11%","0.39%","65.22%","86.76%","-27.79%","55.19","-","1.78%","12.91%","0.14","258.09","236.96","52.39","75.00%","87.50%"
"NTPC Green Energy","https://scanx.trade/company/ntpc-green-energyltd","90.14","-0.06%","90.23","18,01,893","75,954.94","136.64","35.41","117.64","84.05","-0.18%","-4.66%","-3.11%","-25.90%","-25.90%","4.05","-","-","3.47%","-","90.73","99.82","51.55","70.00%","87.50%"
"SRF","https://scanx.trade/company/srf-ltd","2,562.20","-2.10%","2,601.00","6,55,543","75,949.97","43.61","16.37","3,325.00","2,553.00","-5.58%","-8.81%","-10.22%","15.18%","135.59%","5.85","0.28%","11.64%","12.90%","41.45","2,897.22","2,963.98","30.46","76.00%","87.50%"
"NHPC","https://scanx.trade/company/nhpc-ltd","75.33","-0.53%","75.73","2,15,74,575","75,669.25","21.22","35.41","92.34","71.00","0.11%","-2.71%","1.37%","95.16%","211.93%","1.84","2.52%","8.28%","6.14%","3.60","78.24","82.41","43.04","75.25%","87.50%"
"Persistent Systems","https://scanx.trade/company/persistent-systems-ltd","4,733.00","-1.01%","4,823.00","11,44,899","74,663.08","43.51","25.37","6,599.00","4,148.95","-23.10%","-26.22%","-13.52%","93.38%","471.43%","10.54","0.72%","22.06%","28.61%","76.02","5,969.63","5,752.16","23.32","75.19%","86.36%"
"Indusind Bank","https://scanx.trade/company/indusind-bank-ltd","956.75","-0.81%","963.00","37,45,120","74,538.09","-36.95","9.69","1,063.30","606.00","7.20%","12.47%","-8.59%","-11.34%","-9.99%","1.16","-","14.20%","5.98%","115.87","904.84","828.16","63.57","70.00%","86.13%"
